PostalCode,Borough,Neighborhood,Latitude,Longitude
M1B,Scarborough,"Malvern, Rouge",43.811525000000074,-79.19551721399995
M1C,Scarborough,"Highland Creek, Port Union, Rouge Hill",43.78573000000006,-79.15874999999994
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.76569000000006,-79.17525603599995
M1G,Scarborough,Woburn,43.76835912100006,-79.21758999999997
M1H,Scarborough,Cedarbrae,43.76968799900004,-79.23943999999995
M1J,Scarborough,Scarborough Village,43.74312500000008,-79.23174973599998
M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.726244585000074,-79.26366999999993
M1L,Scarborough,"Clairlea, Golden Mile, Oakridge",43.71313321100007,-79.28505499999994
M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.72357500000004,-79.23497617799995
M1N,Scarborough,"Birch Cliff, Cliffside West",43.69666500000005,-79.26016331599999
M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.759975000000054,-79.26897402899993
M1R,Scarborough,"Maryvale, Wexford",43.750710464000065,-79.30055999999996
M1S,Scarborough,Agincourt,43.79394000000008,-79.26798280099996
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.78472500000004,-79.29904659999994
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.817810000000065,-79.28024362199994
M1W,Scarborough,L'Amoreaux West,43.80088094900003,-79.32073999999994
M1X,Scarborough,Upper Rouge,43.83421500000003,-79.21670085099998
M2H,North York,Hillcrest Village,43.80284500000005,-79.35623615099996
M2J,North York,"Fairview, Henry Farm, Oriole",43.780880000000025,-79.34779577599994
M2K,North York,Bayview Village,43.781015000000025,-79.38054242199996
M2L,North York,"Silver Hills, York Mills",43.75719200000003,-79.37986499999994
M2M,North York,"Newtonbrook, Willowdale",43.79147500000005,-79.41360487299994
M2N,North York,Willowdale South,43.76816500000007,-79.40741984599998
M2P,North York,York Mills West,43.74785500000007,-79.40006223799998
M2R,North York,Willowdale West,43.77769500000005,-79.44579657299994
M3A,North York,Parkwoods,43.752440000000036,-79.32927072599995
M3B,North York,Don Mills North,43.74919500000004,-79.36190541699995
